"siteID","date","hgDepositionUGM2","filename"
"LKC",1994-12-05,0.0876,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-12-05,0.0402,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-12-06,0.0199,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-12-10,0.0174,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-12-17,0.0118,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-12-18,0.0206,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-12-28,0.0318,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-01-01,0.0095,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-01-03,0.0166,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-01-06,0.0089,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-01-12,0.0509,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-01-15,0.019,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-01-16,0.0292,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-01-20,0.039,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-01-21,0.0106,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-01-22,0.0171,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-02-01,0.015,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-02-04,0.037,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-02-24,0.1236,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-02-27,0.0217,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-02-28,0.0074,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-03-08,0.0866,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-03-16,0.0399,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-03-21,0.0358,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-03-22,0.0128,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-03-30,0.0363,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-04-04,0.0367,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-04-12,0.1006,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-04-15,0.0243,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-04-19,0.0694,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-04-21,0.0335,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-04-26,0.0478,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-04-27,0.342,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-04-28,0.0698,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-04-29,0.1012,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-05-12,0.0222,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-05-14,0.5051,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-05-15,0.0491,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-05-17,0.0826,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-05-21,0.1,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-05-24,0.1274,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-05-26,0.1431,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-05-28,0.1505,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-05-29,0.0505,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-06-02,0.0679,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-06-03,0.0602,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-06-11,0.2006,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-01,0.4812,"PMRC Wet Deposition Hg 1999-2003"
