"bandNum","date","status","age","sex","time","loc","cp","bp","wg","wt","hgBloodID","species","hgID","tissueType","hgLevel","mehgLevel","hgLab"
"193176745",2014-06-09,"1","5","4",2050,"MANS","3","0",91,27.4,"2014.005","BITH","2014.005","blood",0.0706525268554687,NA,"BRI"
"193176745",2014-06-26,"2","5","4",2010,"MANS","3","0",90,29.2,"2014.006","BITH","2014.006","blood",0.0671211624145508,NA,"BRI"
"193176745",2015-06-03,"2","6","4",1910,"MANS","3","0",93,28.8,"2015.08","BITH","2015.08","blood",0.0962999420166016,NA,"BRI"
"193176745",2016-05-20,"2","6","4",600,"MANS","0","0",93,27.2,"2016.088","BITH","2016.088","blood",0.157589721679687,NA,"BRI"
"193176745",2017-06-22,"2","6","4",815,"MANS","3","0",95,29.2,"2017.08","BITH","2017.08","blood",0.0929363784790039,NA,"BRI"
"193176745",2017-07-07,"2","6","4",733,"MANS","1","0",93.5,25.4,"2017.4","BITH","2017.4","blood",0.105631294250488,NA,"BRI"
"193176746",2014-06-17,"2","5","4",630,"MANS","3","0",89,26.5,"2014.007","BITH","2014.007","blood",0.10456339263916,NA,"BRI"
"193176747",2015-06-11,"2","6","5",2120,"MANS","2","0",88,29.3,"2015.011","BITH","2015.011","blood",0.071332649230957,NA,"BRI"
"193176747",2015-06-23,"2","6","5",1930,"MANS","0","3",86.5,NA,"2015.023","BITH","2015.023","blood",0.0955026168823242,NA,"BRI"
"193176747",2015-07-07,"2","6","5",1200,"MANS","0","4",88,29.8,"2015.053","BITH","2015.053","blood",0.0713987045288086,NA,"BRI"
"193176749",2016-06-22,"2","6","4",2120,"MANS","3","0",89,26.8,"2016.083","BITH","2016.083","blood",0.0577346801757812,NA,"BRI"
"193176751",2015-06-12,"2","6","4",1010,"MANS","3","0",95,27.8,"2015.021","BITH","2015.021","blood",0.085088020324707,NA,"BRI"
"193176754",2014-06-27,"2","5","4",630,"MANS","3","0",87.5,26.8,"2014.009","BITH","2014.009","blood",0.0398037033081055,NA,"BRI"
"193176754",2015-06-12,"2","6","4",930,"MANS","3","0",90.5,25.4,"2015.015","BITH","2015.015","blood",0.120139053344727,NA,"BRI"
"193176754",2016-07-06,"2","6","4",2030,"MANS","3","0",91.5,27.2,"2016.031","BITH","2016.031","blood",0.061137134552002,NA,"BRI"
"193176761",2014-06-17,"1","5","4",630,"MANS","3","0",92.5,28.7,"2014.012","BITH","2014.012","blood",0.0753357391357422,NA,"BRI"
"193176766",2014-06-17,"1","5","4",940,"MANS","3","0",88,27.1,"2014.014","BITH","2014.014","blood",0.107035179138184,NA,"BRI"
"193176766",2016-07-21,"2","6","4",900,"MANS","2","0",93.5,28.6,"2016.093","BITH","2016.093","blood",0.0492347793579102,NA,"BRI"
"193176767",2014-06-17,"1","6","4",940,"MANS","3","0",88.5,27.4,"2014.015","BITH","2014.015","blood",0.118873596191406,NA,"BRI"
"193176767",2015-06-29,"2","6","4",840,"MANS","3","0",91,26.9,"2015.025","BITH","2015.025","blood",0.102638374328613,NA,"BRI"
"193176774",2014-06-27,"1","5","4",1050,"MANS","3","0",85.5,27.9,"2014.017","BITH","2014.017","blood",0.119203826904297,NA,"BRI"
"193176776",2015-06-30,"2","6","5",930,"MANS","0","4",85.5,24.1,"2015.031","BITH","2015.031","blood",0.0700006866455078,NA,"BRI"
"193176776",2017-07-11,"2","6","5",1930,"MANS","0","3",87,25.4,"2017.43","BITH","2017.43","blood",0.0679129486083984,NA,"BRI"
"193176780",2015-06-03,"2","6","4",2100,"MANS","1","0",93,28.3,"2015.041","BITH","2015.041","blood",0.10097038269043,NA,"BRI"
"193176781",2014-07-08,"1","5","4",640,"MANS","2","0",91.5,27.2,"2014.02","BITH","2014.02","blood",0.0923065948486328,NA,"BRI"
"193176782",2014-07-08,"1","5","5",700,"MANS","0","2",85,25.1,"2014.021","BITH","2014.021","blood",0.109650047302246,NA,"BRI"
"193176785",2014-07-08,"1","5","4",810,"MANS","2","0",90.5,25.6,"2014.044","BITH","2014.044","blood",0.0691187057495117,NA,"BRI"
"193176785",2014-09-17,"2","5","4",720,"MANS",NA,NA,91.5,26,"2014.023","BITH","2014.023","blood",0.0150167608261108,NA,"BRI"
"193176786",2014-07-08,"1","6","5",820,"MANS","0","2",95.5,26,"2014.024","BITH","2014.024","blood",0.140912307739258,NA,"BRI"
"193176787",2014-07-08,"1","6","5",840,"MANS","0","3",89.5,29,"2014.025","BITH","2014.025","blood",0.0916073303222656,NA,"BRI"
"193176788",2014-07-08,"1","5","4",900,"MANS","3","0",89.5,26.7,"2014.026","BITH","2014.026","blood",0.0828394012451172,NA,"BRI"
"193176788",2015-07-07,"2","6","4",700,"MANS","2","0",89.5,26.5,"2015.052","BITH","2015.052","blood",0.0695388031005859,NA,"BRI"
