"date","siteID","sampleNumber","precipSampVolML","precipAmountCM","hgConcentrationNGL","hgDepositionUGM2","filename"
1998-09-22,"LKC",655,113,0.59162,7.115,0.042,"PMRC Wet Deposition Hg 1999-2003"
1998-09-26,"LKC",656,437,2.28795,18.46,0.4225,"PMRC Wet Deposition Hg 1999-2003"
1998-09-27,"LKC",657,576,3.0157,10.39,0.3134,"PMRC Wet Deposition Hg 1999-2003"
1998-09-28,"LKC",658,27,0.14136,11.77,0.0166,"PMRC Wet Deposition Hg 1999-2003"
1998-09-30,"LKC",659,505,2.64397,13.42,0.3549,"PMRC Wet Deposition Hg 1999-2003"
1998-10-07,"LKC",660,314,1.64397,14.35,0.2359,"PMRC Wet Deposition Hg 1999-2003"
1998-10-08,"LKC",661,42,0.21989,9.175,0.0201,"PMRC Wet Deposition Hg 1999-2003"
1998-10-10,"LKC",662,96,0.50261,2.043,0.0102,"PMRC Wet Deposition Hg 1999-2003"
1998-10-11,"LKC",663,46,0.24083,4.328,0.0104,"PMRC Wet Deposition Hg 1999-2003"
1998-10-14,"LKC",665,215,1.12565,2.703,0.0304,"PMRC Wet Deposition Hg 1999-2003"
1998-10-14,"LKC",664,144,0.75392,2.816,0.0212,"PMRC Wet Deposition Hg 1999-2003"
1998-10-15,"LKC",666,115,0.60209,3.555,0.0214,"PMRC Wet Deposition Hg 1999-2003"
1998-10-21,"LKC",668,48,0.2513,6.279,0.0157,"PMRC Wet Deposition Hg 1999-2003"
1998-10-28,"LKC",669,316,1.65445,12.43,0.2057,"PMRC Wet Deposition Hg 1999-2003"
1998-10-30,"LKC",671,40,0.20942,3.371,0.007,"PMRC Wet Deposition Hg 1999-2003"
1998-11-01,"LKC",672,199,1.04188,5.482,0.0571,"PMRC Wet Deposition Hg 1999-2003"
1998-11-02,"LKC",673,76,0.3979,4.925,0.0195,"PMRC Wet Deposition Hg 1999-2003"
1998-11-03,"LKC",674,24,0.12565,6.941,0.0087,"PMRC Wet Deposition Hg 1999-2003"
1998-11-10,"LKC",675,311,1.62827,5.799,0.0944,"PMRC Wet Deposition Hg 1999-2003"
1998-11-12,"LKC",676,38,0.19895,15.04,0.0299,"PMRC Wet Deposition Hg 1999-2003"
1998-11-14,"LKC",677,174,0.91099,15.09,0.1374,"PMRC Wet Deposition Hg 1999-2003"
1998-11-16,"LKC",678,54,0.28272,4.15,0.0117,"PMRC Wet Deposition Hg 1999-2003"
1998-11-20,"LKC",679,91,0.47643,9.419,0.0448,"PMRC Wet Deposition Hg 1999-2003"
1998-11-21,"LKC",680,37,0.19371,6.384,0.0123,"PMRC Wet Deposition Hg 1999-2003"
1998-11-24,"LKC",681,35,0.18324,5.276,0.0096,"PMRC Wet Deposition Hg 1999-2003"
1998-11-26,"LKC",682,315,1.64921,4.838,0.0797,"PMRC Wet Deposition Hg 1999-2003"
1998-12-03,"LKC",685,36,0.18848,26.06,0.0491,"PMRC Wet Deposition Hg 1999-2003"
1998-12-05,"LKC",686,20,0.10471,20.39,0.0213,"PMRC Wet Deposition Hg 1999-2003"
1998-12-10,"LKC",689,89,0.46596,8.632,0.0402,"PMRC Wet Deposition Hg 1999-2003"
1998-12-16,"LKC",690,72,0.37696,3.035,0.0114,"PMRC Wet Deposition Hg 1999-2003"
1998-12-19,"LKC",691,47,0.24607,19.22,0.0472,"PMRC Wet Deposition Hg 1999-2003"
1998-12-21,"LKC",692,272,1.42408,5.058,0.072,"PMRC Wet Deposition Hg 1999-2003"
1998-12-30,"LKC",693,48,0.2513,4.701,0.0118,"PMRC Wet Deposition Hg 1999-2003"
1999-01-01,"LKC",694,23,0.12041,5.532,0.0066,"PMRC Wet Deposition Hg 1999-2003"
1999-01-03,"LKC",695,250,1.3089,5.941,0.0777,"PMRC Wet Deposition Hg 1999-2003"
