Date,SiteCode,samplenumber,PrecipSampVol_mL,precipamount_cm,HgConcentration_ng_L,Hg_deposition_ug_m2
4/4/95,LKC,268,82,0.42931,8.548,0.0367
4/12/95,LKC,269,268,1.40314,7.176,0.1006
4/15/95,LKC,270,136,0.71204,3.415,0.0243
4/19/95,LKC,271,41,0.21465,32.34,0.0694
4/21/95,LKC,272,98,0.51308,6.533,0.0335
4/26/95,LKC,273,71,0.37172,12.86,0.0478
4/27/95,LKC,274,237,1.24083,27.56,0.342
4/28/95,LKC,275,56,0.29319,23.83,0.0698
4/29/95,LKC,276,165,0.86387,11.72,0.1012
5/12/95,LKC,277,62,0.3246,6.864,0.0222
5/14/95,LKC,278,312,1.6335,30.92,0.5051
5/15/95,LKC,279,107,0.5602,8.772,0.0491
5/17/95,LKC,280,94,0.49214,16.8,0.0826
5/21/95,LKC,281,47,0.24607,40.65,0.1
5/24/95,LKC,282,306,1.60209,7.957,0.1274
5/26/95,LKC,283,160,0.83769,17.08,0.1431
5/28/95,LKC,284,105,0.54973,27.38,0.1505
5/29/95,LKC,285,295,1.5445,3.273,0.0505
6/2/95,LKC,286,87,0.45549,14.92,0.0679
6/3/95,LKC,287,85,0.44502,13.54,0.0602
6/11/95,LKC,288,309,1.6178,12.4,0.2006
7/1/95,LKC,289,1062,5.5602,8.655,0.4812
7/6/95,LKC,290,339,1.77486,11.13,0.1976
7/8/95,LKC,291,165,0.86387,14.03,0.1212
7/10/95,LKC,292,38,0.19895,16.08,0.032
7/14/95,LKC,293,179,0.93717,26.96,0.2526
7/16/95,LKC,294,530,2.77486,7.262,0.2015
7/17/95,LKC,295,308,1.61256,4.845,0.0781
7/18/95,LKC,296,42,0.21989,14.3,0.0314
7/20/95,LKC,297,180,0.9424,8.554,0.0806
7/23/95,LKC,298,270,1.41361,13.05,0.1846
7/26/95,LKC,299,184,0.96335,16.35,0.1575
7/29/95,LKC,301,133,0.69633,10.1,0.0703
7/29/95,LKC,300,49,0.25654,14.87,0.0381
8/3/95,LKC,302,1141,5.97382,10.95,0.6546
8/4/95,LKC,303,1142,5.97905,4.11,0.2457
8/5/95,LKC,304,1161,6.07853,4.297,0.2612
8/6/95,LKC,305,30,0.15706,12.6,0.0197
8/11/95,LKC,306,507,2.65445,20.75,0.5509
8/15/95,LKC,307,75,0.39267,14.32,0.0562
8/23/95,LKC,308,60,0.31413,24.83,0.078
9/5/95,LKC,309,83,0.43455,17.46,0.0759
9/7/95,LKC,310,126,0.65968,21.02,0.1387
9/9/95,LKC,311,59,0.3089,7.049,0.0217
9/13/95,LKC,312,138,0.72251,16.17,0.1168
9/14/95,LKC,313,429,2.24607,7.666,0.1722
9/14/95,LKC,314,119,0.62303,4.236,0.0263
9/17/95,LKC,315,88,0.46073,1.958,0.009
9/21/95,LKC,316,25,0.13089,12.81,0.0167
9/22/95,LKC,317,616,3.22513,1.498,0.0483
9/25/95,LKC,318,66,0.34554,10.79,0.0373
9/26/95,LKC,319,150,0.78534,7.226,0.0567
10/4/95,LKC,320,232,1.21465,12.98,0.1576
10/4/95,LKC,321,107,0.5602,6.678,0.0374
10/5/95,LKC,322,413,2.1623,3.191,0.069
10/14/95,LKC,323,1148,6.01047,3.244,0.195
10/16/95,LKC,324,29,0.15183,5.24,0.0079
10/21/95,LKC,325,771,4.03664,1.561,0.063
10/24/95,LKC,326,76,0.3979,8.112,0.0322
10/27/95,LKC,327,388,2.03141,3.732,0.0758
10/28/95,LKC,328,155,0.81151,3.008,0.0244
10/29/95,LKC,329,47,0.24607,3.41,0.0083
11/1/95,LKC,330,98,0.51308,10.08,0.0517
11/3/95,LKC,331,172,0.90052,4.701,0.0423
11/7/95,LKC,332,158,0.82722,2.595,0.0214
11/8/95,LKC,333,21,0.10994,4.316,0.0047
11/11/95,LKC,334,720,3.76963,2.756,0.1038
11/12/95,LKC,335,23,0.12041,4.83,0.0058
11/14/95,LKC,336,201,1.05235,1.526,0.016
11/15/95,LKC,337,32,0.16753,5.843,0.0097
11/27/95,LKC,338,29,0.15183,59.08,0.0897
11/30/95,LKC,339,63,0.32984,4.832,0.0159
12/1/95,LKC,340,98,0.51308,9.63,0.0494
12/9/95,LKC,342,73,0.38219,4.759,0.0181
12/19/95,LKC,344,33,0.17277,2.039,0.0035
12/20/95,LKC,345,77,0.40314,2.84,0.0114
12/21/95,LKC,346,103,0.53926,6.335,0.0341
12/22/95,LKC,347,25,0.13089,12.74,0.0166
12/25/95,LKC,349,61,0.31937,3.388,0.0108
12/26/95,LKC,350,63,0.32984,1.847,0.006
1/3/96,LKC,351,97,0.50785,3.97,0.0201
1/19/96,LKC,352,397,2.07853,2.183,0.0453
1/23/96,LKC,353,122,0.63874,8.578,0.0547
1/24/96,LKC,354,122,0.63874,3.748,0.0239
1/27/96,LKC,356,536,2.80628,2.724,0.0764
1/27/96,LKC,355,39,0.20418,9.826,0.02
2/8/96,LKC,357,151,0.79057,3.801,0.03
2/9/96,LKC,358,54,0.28272,6.208,0.0175
2/11/96,LKC,359,30,0.15706,30.3,0.0475
2/18/96,LKC,361,35,0.18324,6.911,0.0126
2/21/96,LKC,362,75,0.39267,5.93,0.0232
2/24/96,LKC,363,78,0.40837,17.77,0.0725
2/24/96,LKC,364,77,0.40314,5.407,0.0218
2/28/96,LKC,365,145,0.75916,10.18,0.0773
3/7/96,LKC,367,42,0.21989,2.374,0.0052
3/8/96,LKC,368,25,0.13089,4.622,0.006
3/20/96,LKC,369,26,0.13612,10.51,0.0143
4/1/96,LKC,370,48,0.2513,4.555,0.0114
4/11/96,LKC,371,57,0.29842,17.59,0.0525
4/13/96,LKC,372,322,1.68586,5.777,0.0974
4/14/96,LKC,373,20,0.10471,8.925,0.0093
4/21/96,LKC,375,342,1.79057,17.1,0.3063
4/22/96,LKC,376,93,0.48691,35.6,0.1733
4/23/96,LKC,377,721,3.77486,5.977,0.2256
4/25/96,LKC,378,54,0.28272,20.57,0.0581
4/26/96,LKC,379,435,2.27748,9.946,0.2265
4/30/96,LKC,380,294,1.53926,2.507,0.0385
5/3/96,LKC,381,165,0.86387,7.23,0.0624
5/4/96,LKC,382,280,1.46596,5.037,0.0738
5/10/96,LKC,384,326,1.7068,6.959,0.1187
5/10/96,LKC,383,169,0.88481,6.374,0.0564
5/11/96,LKC,385,562,2.9424,3.211,0.0945
5/12/96,LKC,386,104,0.5445,5.759,0.0313
5/18/96,LKC,387,328,1.71727,10.69,0.1837
5/19/96,LKC,388,22,0.11518,89.75,0.1033
5/20/96,LKC,389,134,0.70157,10.46,0.0733
5/21/96,LKC,390,36,0.18848,11.68,0.022
5/28/96,LKC,391,142,0.74345,20.23,0.1504
5/29/96,LKC,392,203,1.06282,6.734,0.0715
6/3/96,LKC,393,63,0.32984,16.25,0.0536
6/7/96,LKC,395,489,2.5602,10.32,0.2643
6/7/96,LKC,394,254,1.32984,12.64,0.1681
6/12/96,LKC,396,148,0.77486,21.84,0.1692
6/13/96,LKC,397,722,3.7801,11.22,0.4242
6/22/96,LKC,399,253,1.3246,9.306,0.1232
6/24/96,LKC,400,110,0.57591,9.817,0.0565
6/25/96,LKC,401,67,0.35078,16.48,0.0578
6/27/96,LKC,402,113,0.59162,7.436,0.0439
6/30/96,LKC,403,35,0.18324,32.78,0.06
7/3/96,LKC,404,576,3.0157,3.309,0.0997
7/4/96,LKC,405,175,0.91623,6.689,0.0612
7/8/96,LKC,406,44,0.23036,36.29,0.0836
7/9/96,LKC,407,264,1.38219,3.92,0.0541
7/10/96,LKC,408,59,0.3089,13.21,0.0408
7/13/96,LKC,409,156,0.81675,2.919,0.0238
7/14/96,LKC,410,148,0.77486,15.38,0.1192
7/15/96,LKC,411,93,0.48691,10.37,0.0505
7/19/96,LKC,412,359,1.87958,8.206,0.1542
7/20/96,LKC,413,235,1.23036,21.07,0.2593
7/23/96,LKC,414,56,0.29319,23.54,0.069
7/25/96,LKC,415,40,0.20942,26.92,0.0563
7/26/96,LKC,416,457,2.39267,15.04,0.3599
7/27/96,LKC,417,76,0.3979,20.04,0.0797
7/31/96,LKC,418,148,0.77486,8.724,0.0676
8/1/96,LKC,419,170,0.89005,13.57,0.1208
8/9/96,LKC,420,39,0.20418,14.39,0.0294
8/20/96,LKC,421,264,1.38219,6.177,0.0853
8/23/96,LKC,422,48,0.2513,24.09,0.0605
8/26/96,LKC,423,183,0.95811,13.39,0.1283
8/27/96,LKC,424,44,0.23036,11.44,0.0263
9/7/96,LKC,425,283,1.48167,4.097,0.0607
9/9/96,LKC,426,157,0.82198,7.363,0.0605
9/13/96,LKC,427,95,0.49738,2.568,0.0127
9/16/96,LKC,428,48,0.2513,8.885,0.0223
9/23/96,LKC,429,88,0.46073,15.74,0.0725
9/24/96,LKC,430,174,0.91099,6.218,0.0566
9/28/96,LKC,432,590,3.089,15.46,0.4777
9/28/96,LKC,433,587,3.07329,6.842,0.2102
10/3/96,LKC,434,205,1.07329,3.919,0.042
10/8/96,LKC,435,232,1.21465,3.45,0.0419
10/10/96,LKC,436,364,1.90575,5.697,0.1085
10/13/96,LKC,438,42,0.21989,37.25,0.0819
10/20/96,LKC,439,1178,6.16753,2.3,0.1418
10/22/96,LKC,441,181,0.94764,1.827,0.0173
10/22/96,LKC,440,69,0.36125,3.662,0.0132
10/24/96,LKC,442,174,0.91099,5.042,0.0459
10/30/96,LKC,443,51,0.26701,37.6,0.1004
11/2/96,LKC,444,68,0.35602,10.24,0.0364
11/8/96,LKC,445,1023,5.35602,3.72,0.1992
11/9/96,LKC,446,37,0.19371,5.911,0.0114
11/11/96,LKC,447,33,0.17277,8.433,0.0145
11/19/96,LKC,448,221,1.15706,3.84,0.0444
11/20/96,LKC,449,28,0.14659,4.602,0.0067
11/25/96,LKC,451,103,0.53926,3.393,0.0182
12/2/96,LKC,452,69,0.36125,3.179,0.0114
12/7/96,LKC,453,152,0.79581,2.621,0.0208
12/8/96,LKC,454,24,0.12565,9.41,0.0118
12/14/96,LKC,455,94,0.49214,1.568,0.0077
12/19/96,LKC,456,85,0.44502,4.816,0.0214
12/23/96,LKC,457,149,0.7801,9.033,0.0704
12/24/96,LKC,458,116,0.60732,4.131,0.025
12/29/96,LKC,459,105,0.54973,13.9,0.0764
1/2/97,LKC,460,83,0.43455,8.067,0.035
1/5/97,LKC,461,59,0.3089,7.021,0.0216
1/9/97,LKC,462,72,0.37696,5.017,0.0189
1/10/97,LKC,463,70,0.36649,3.43,0.0125
1/12/97,LKC,464,27,0.14136,8.113,0.0114
1/16/97,LKC,465,51.4,0.2691,6.235,0.0167
1/22/97,LKC,466,39,0.20418,22.25,0.0454
1/24/97,LKC,467,30,0.15706,10.49,0.0164
1/25/97,LKC,468,49,0.25654,4.737,0.0121
2/4/97,LKC,471,37,0.19371,6.931,0.0134
2/12/97,LKC,473,21,0.10994,7.197,0.0079
2/21/97,LKC,474,137,0.71727,13.27,0.0952
2/21/97,LKC,475,28,0.14659,23.49,0.0344
2/22/97,LKC,476,118,0.6178,7.896,0.0487
2/27/97,LKC,477,48,0.2513,7.838,0.0196
3/1/97,LKC,478,52,0.27225,7.259,0.0197
3/5/97,LKC,480,275,1.43979,3.863,0.0556
3/14/97,LKC,482,117,0.61256,4.414,0.027
3/25/97,LKC,483,40,0.20942,10.24,0.0214
3/29/97,LKC,484,45,0.2356,12.16,0.0286
3/31/97,LKC,485,115,0.60209,3.827,0.023
4/6/97,LKC,486,152,0.79581,35.76,0.2846
4/12/97,LKC,487,39,0.20418,10.71,0.0218
4/18/97,LKC,488,526,2.75392,3.183,0.0876
4/28/97,LKC,489,568,2.97382,7.986,0.2375
5/1/97,LKC,490,267,1.3979,16.79,0.2347
5/3/97,LKC,491,71,0.37172,17.1,0.0636
5/6/97,LKC,492,652,3.41361,2.993,0.1021
5/10/97,LKC,493,184,0.96335,5.357,0.0516
5/10/97,LKC,494,27,0.14136,9.155,0.0129
5/12/97,LKC,495,136,0.71204,17.52,0.1247
5/15/97,LKC,496,81,0.42408,20.37,0.0863
5/16/97,LKC,497,121,0.6335,14.56,0.0922
5/18/97,LKC,498,35,0.18324,10.62,0.0194
5/19/97,LKC,499,64,0.33507,33.76,0.1131
5/22/97,LKC,500,321,1.68062,10.25,0.1723
5/25/97,LKC,501,22,0.11518,50.21,0.0578
5/30/97,LKC,502,91,0.47643,11.71,0.0558
6/1/97,LKC,503,130,0.68062,23.47,0.1597
6/12/97,LKC,504,23,0.12041,53.11,0.0639
6/13/97,LKC,505,167,0.87434,15.08,0.1319
6/17/97,LKC,506,196,1.02617,18.6,0.1909
6/18/97,LKC,507,343,1.79581,10.8,0.1939
6/22/97,LKC,508,224,1.17277,16.19,0.1899
6/22/97,LKC,509,212,1.10994,12.42,0.1378
6/26/97,LKC,510,66,0.34554,19.73,0.0682
7/2/97,LKC,511,34,0.17801,16.11,0.0286
7/3/97,LKC,512,280,1.46596,12.3,0.1804
7/4/97,LKC,513,93,0.48691,4.5,0.0219
7/9/97,LKC,514,934,4.89005,12.32,0.6025
7/13/97,LKC,515,149,0.7801,13.57,0.1059
7/14/97,LKC,516,674,3.52879,21.07,0.7437
7/15/97,LKC,517,387,2.02617,26.17,0.5304
7/19/97,LKC,518,60,0.31413,11.2,0.0351
7/28/97,LKC,519,89,0.46596,23.28,0.1085
8/2/97,LKC,520,261,1.36649,14.02,0.1916
8/11/97,LKC,521,511,2.67539,5.689,0.1522
8/13/97,LKC,522,694,3.6335,6.069,0.2205
8/15/97,LKC,523,531,2.7801,6.457,0.1795
8/21/97,LKC,524,513,2.68586,3.497,0.0939
8/27/97,LKC,526,121,0.6335,15.93,0.1009
8/28/97,LKC,527,86,0.45026,15.42,0.0694
8/31/97,LKC,528,152,0.79581,9.172,0.0729
9/3/97,LKC,529,60,0.31413,12.06,0.0378
9/11/97,LKC,530,83,0.43455,22.24,0.0966
9/12/97,LKC,531,119,0.62303,16.6,0.1034
9/14/97,LKC,532,61,0.31937,5.165,0.0164
9/15/97,LKC,533,76,0.3979,10.54,0.0419
9/17/97,LKC,534,126,0.65968,11.17,0.0737
9/19/97,LKC,535,189,0.98952,17.4,0.1722
9/20/97,LKC,536,206,1.07853,4.295,0.0463
9/23/97,LKC,537,270,1.41361,16.56,0.2342
9/26/97,LKC,538,63,0.32984,21.63,0.0713
9/29/97,LKC,539,614,3.21465,8.412,0.2704
9/30/97,LKC,540,419,2.19371,2.731,0.0599
10/3/97,LKC,541,68,0.35602,7.943,0.0282
10/5/97,LKC,542,415,2.17277,1.152,0.025
10/14/97,LKC,543,146,0.76439,9.365,0.0715
10/20/97,LKC,544,89,0.46596,8.836,0.0411
10/23/97,LKC,545,180,0.9424,6.332,0.0596
10/27/97,LKC,546,216,1.13089,8.225,0.093
11/1/97,LKC,547,150,0.78534,3.594,0.0282
11/2/97,LKC,548,322,1.68586,3.643,0.0614
11/4/97,LKC,549,385,2.0157,3.684,0.0742
11/9/97,LKC,550,524,2.74345,2.541,0.0697
11/14/97,LKC,551,209,1.09424,2.833,0.031
11/15/97,LKC,552,85,0.44502,1.401,0.0062
11/21/97,LKC,553,54,0.28272,13.44,0.038
11/26/97,LKC,554,356,1.86387,6.295,0.1173
11/28/97,LKC,555,95,0.49738,10.11,0.0502
11/30/97,LKC,556,140,0.73298,6.584,0.0482
12/5/97,LKC,557,384,2.01047,4.153,0.0834
12/7/97,LKC,558,69,0.36125,8.831,0.0319
12/13/97,LKC,559,82,0.42931,5.323,0.0228
12/23/97,LKC,560,25.6,0.13403,8.677,0.0116
12/25/97,LKC,561,196.5,1.02879,4.99,0.0513
12/30/97,LKC,562,251,1.31413,4.405,0.0578
12/30/97,LKC,563,41,0.21465,5.508,0.0118
1/5/98,LKC,565,387,2.02617,13.85,0.2807
1/5/98,LKC,564,270,1.41361,9.348,0.1321
